rank;code;fr_name;fr_release;en_name;us_release;jap_name;jap_release;classic_size;full_size;category;fr_url;en_url;symbol_url;bloc_code
18;swsh125;Zénith Suprême;20/01/2023;Crown Zenith;20/01/2023;;;159;230;special;https://tcg.pokemon.com/assets/img/expansions/crown-zenith/global/logos/fr-fr/swsh12pt5-logo-2x.png;https://tcg.pokemon.com/assets/img/expansions/crown-zenith/global/logos/en-us/swsh12pt5-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/CRZ.png;SS
17;swsh12;Tempête Argentée;11/11/2022;Silver Tempest;11/11/2022;;;195;245;classic;https://tcg.pokemon.com/assets/img/expansions/silver-tempest/global/logos/fr-fr/swsh12-logo-2x.png;https://tcg.pokemon.com/assets/img/expansions/silver-tempest/global/logos/en-us/swsh12-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/SIT.png;SS
16;swsh11;Origine Perdue;09/09/2022;Lost Origin;09/09/2022;;;196;247;classic;https://tcg.pokemon.com/assets/img/expansions/lost-origin/global/logos/fr-fr/swsh11-logo-2x.png;https://tcg.pokemon.com/assets/img/expansions/lost-origin/global/logos/en-us/swsh11-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/LOR.png;SS
15;pgo;Pokémon GO;01/07/2022;Pokemon GO;01/07/2022;;;78;88;special;https://tcg.pokemon.com/assets/img/expansions/tcg-go/global/logos/en-us/swsh10Pt5-logo-2x.png;https://tcg.pokemon.com/assets/img/expansions/tcg-go/global/logos/en-us/swsh10Pt5-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/PGO.png;SS
14;swsh10;Astres Radieux;27/05/2022;Astral Radiance;27/05/2022;;;189;246;classic;https://tcg.pokemon.com/assets/img/expansions/astral-radiance/global/logos/fr-fr/swsh10-logo-2x.png;https://tcg.pokemon.com/assets/img/expansions/astral-radiance/global/logos/en-us/swsh10-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/ASR.png;SS
13;swsh9;Stars Étincelantes;25/02/2022;Brilliant Stars;25/02/2022;;;172;214;classic;https://tcg.pokemon.com/assets/img/expansions/brilliant-stars/global/logos/fr-fr/swsh09-logo-2x.png;https://tcg.pokemon.com/assets/img/expansions/brilliant-stars/global/logos/en-us/swsh09-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/BRS.png;SS
12;swsh8;Poing de Fusion;12/11/2021;Fusion Strike;12/11/2021;;;264;284;classic;https://tcg.pokemon.com/assets/img/expansions/fusion-strike/global/logos/fr-fr/swsh08-logo-2x.png;https://tcg.pokemon.com/assets/img/expansions/fusion-strike/global/logos/en-us/swsh08-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/FST.png;SS
11;cel;Célébrations;08/10/2021;Celebrations;08/10/2021;;;25;50;special;https://tcg.pokemon.com/assets/img/expansions/celebrations/global/logos/fr-fr/celebrations-logo-2x.png;https://tcg.pokemon.com/assets/img/expansions/celebrations/global/logos/en-us/celebrations-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/CEL.png;SS
10;swsh7;Évolution Céleste;27/08/2021;Evolving Skies;27/08/2021;;;203;237;classic;https://tcg.pokemon.com/assets/img/expansions/evolving-skies/global/logos/fr-fr/swsh7-logo-2x.png;https://tcg.pokemon.com/assets/img/expansions/evolving-skies/global/logos/en-us/swsh7-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/EVS.png;SS
9;swsh6;Règne de Glace;18/06/2021;Chilling Reign;18/06/2021;;;198;233;classic;https://tcg.pokemon.com/assets/img/expansions/chilling-reign/global/logos/fr-fr/swsh6-logo-2x.png;https://tcg.pokemon.com/assets/img/expansions/chilling-reign/global/logos/en-us/swsh6-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/CRE.png;SS
