rank;code;fr_name;fr_release;en_name;us_release;jap_name;jap_release;classic_size;full_size;category;fr_logo_url;en_logo_url;symbol_url;bloc_code
14;sv85;Évolutions Prismatiques;17/01/2025;Prismatic Evolutions;17/01/2025;;;131;180;special;https://www.pokecardex.com/uploads/news/NewsFR/SV/EV8.5/lineup/Logo.png;https://www.pokemon.com/static-assets/content-assets/cms2/img/trading-card-game/series/sv_series/sv8pt5/sv8pt5_logo_169_en.png;;SV
13;sv8;Étincelles Déferlantes;08/11/2024;Surging Sparks;08/11/2024;;;191;252;classic;https://www.pokecardex.com/uploads/news/NewsFR/SV/SV8/Lineup/Logo.png;https://tcg.pokemon.com/assets/img/global/main-nav/logos/en-us/sv08-logo-nav-2x.png;;SV
12;sv7;Couronne Stellaire;13/09/2024;Stellar Crown;13/09/2024;;;142;175;classic;https://www.pokemon.com/static-assets/content-assets/cms2-fr-fr/img/trading-card-game/series/sv_series/sv07/sv07_logo_169_fr.png;https://tcg.pokemon.com/assets/img/global/main-nav/logos/en-us/sv07-logo-nav-2x.png;https://www.pokecardex.com/assets/images/symboles/SCR.png;SV
11;sv65;Fable Nébuleuse;02/08/2024;Shrouded Fable;02/08/2024;;;64;99;special;https://www.pokecardex.com/assets/images/logos/SFA.png;https://www.pokemon.com/static-assets/content-assets/cms2/img/trading-card-game/series/sv_series/sv6pt5/sv6pt5_logo_169_en.png;https://www.pokecardex.com/assets/images/symboles/SFA.png;SV
10;sv6;Mascarade Crépusculaire;24/05/2024;Twilight Masquerade;24/05/2024;;;167;226;classic;https://www.pokecardex.com/assets/images/logos/TWM.png;https://tcg.pokemon.com/assets/img/global/main-nav/logos/en-us/sv06-logo-nav-2x.png;https://www.pokecardex.com/assets/images/symboles/TWM.png;SV
9;sv5;Forces Temporelles;22/03/2024;Temporal Forces;22/03/2024;;;162;218;classic;https://www.pokecardex.com/assets/images/logos/TEF.png;https://tcg.pokemon.com/assets/img/global/main-nav/logos/en-us/sv05-logo-nav-2x.png;https://www.pokecardex.com/assets/images/symboles/TEF.png;SV
8;sv45;Destinées de Paldea;26/01/2024;Paldean Fates;26/01/2024;;;91;245;classic;https://www.pokecardex.com/assets/images/logos/PAF.png;https://tcg.pokemon.com/assets/img/global/main-nav/logos/en-us/sv04pt5-logo-nav-2x.png;https://www.pokecardex.com/assets/images/symboles/PAF.png;SV
7;sv4;Faille Paradoxe;03/11/2023;Paradox Rift;03/11/2023;;;182;266;classic;https://www.pokecardex.com/assets/images/logos/PAR.png;https://tcg.pokemon.com/assets/img/sv-expansions/paradox-rift/logo/en-us/sv04-logo-cmyk-2x.png;https://www.pokecardex.com/assets/images/symboles/PAR.png;SV
6;sv151;151;22/09/2023;151;22/09/2023;;;165;207;special;https://tcg.pokemon.com/assets/img/all-expansions/logos/fr-fr/sv03pt5-all-expansions.png;https://tcg.pokemon.com/assets/img/sv-expansions/151/logo/en-us/logo-2x.png;https://www.pokecardex.com/assets/images/symboles/MEW.png;SV
5;sv3;Flammes Obsidiennes;11/08/2023;Obsidian Flames;11/08/2023;;;197;230;classic;https://tcg.pokemon.com/assets/img/sv-expansions/obsidian-flames/logo/fr-fr/sv03-header-logo-2x.png;https://tcg.pokemon.com/assets/img/sv-expansions/obsidian-flames/logo/en-us/sv03-header-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/OBF.png;SV
4;sv2;Évolutions à Paldea;09/06/2023;Paldea Evolved;09/06/2023;;;193;279;classic;https://tcg.pokemon.com/assets/img/sv-expansions/paldea-evolved/logo/fr-fr/sv02-header-logo-2x.png;https://tcg.pokemon.com/assets/img/sv-expansions/paldea-evolved/logo/en-us/sv02-header-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/PAL.png;SV
3;sv1;Écarlate et Violet;31/03/2023;Scarlet & Violet;31/03/2023;;;198;258;classic;https://tcg.pokemon.com/assets/img/sv-expansions/scarlet-violet/logo/fr-fr/sv01-logo-2x.png;https://tcg.pokemon.com/assets/img/sv-expansions/scarlet-violet/logo/en-us/sv01-logo-2x.png;https://www.pokecardex.com/assets/images/symboles/SVI.png;SV
2;sve;Énergies Écarlate et Violet;31/03/2023;Scarlet & Violet Energy;31/03/2023;;;16;16;classic;;;https://www.pokecardex.com/assets/images/symboles/SVE.png;SV
1;svp;Promo Écarlate et Violet;31/03/2023;Scarlet & Violet Promo;31/03/2023;;;215;215;promo;;;https://www.pokecardex.com/assets/images/symboles/SVP.png;SV
